INFO 2025-02-02 21:30:06,429 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-02 21:30:06,679 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\runners.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,679 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\http\__init__.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,679 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\asyncio\base_futures.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,680 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\signing.py first seen with mtime 1737630442.6386018
DEBUG 2025-02-02 21:30:06,680 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,680 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1737630442.792153
DEBUG 2025-02-02 21:30:06,681 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1737630442.7210577
DEBUG 2025-02-02 21:30:06,681 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\ctypes\wintypes.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,682 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1737630442.273238
DEBUG 2025-02-02 21:30:06,683 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\DLLs\_uuid.pyd first seen with mtime 1733255892.0
DEBUG 2025-02-02 21:30:06,683 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1737630442.6569555
DEBUG 2025-02-02 21:30:06,684 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1737630442.6774666
DEBUG 2025-02-02 21:30:06,684 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1737630442.794153
DEBUG 2025-02-02 21:30:06,685 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\typing.py first seen with mtime 1733255850.0
DEBUG 2025-02-02 21:30:06,685 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1737630441.533145
DEBUG 2025-02-02 21:30:06,686 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1737630440.7241106
DEBUG 2025-02-02 21:30:06,686 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\pickle.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,686 autoreload File C:\Proyectos\school_visits\school_visits_project\settings.py first seen with mtime 1738528205.671689
DEBUG 2025-02-02 21:30:06,687 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1737630442.630012
DEBUG 2025-02-02 21:30:06,688 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1737630442.28124
DEBUG 2025-02-02 21:30:06,688 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1737630442.7300587
DEBUG 2025-02-02 21:30:06,688 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\lzma.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,689 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\signal.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,690 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1737630441.5321388
DEBUG 2025-02-02 21:30:06,690 autoreload File C:\Proyectos\school_visits\visits\views.py first seen with mtime 1738527950.7692125
DEBUG 2025-02-02 21:30:06,690 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1737630452.259141
DEBUG 2025-02-02 21:30:06,691 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1737630442.7330587
DEBUG 2025-02-02 21:30:06,691 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,692 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1737630441.731784
DEBUG 2025-02-02 21:30:06,692 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1737630442.6794655
DEBUG 2025-02-02 21:30:06,692 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1737630452.3074417
DEBUG 2025-02-02 21:30:06,693 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1737630440.720111
DEBUG 2025-02-02 21:30:06,693 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\bisect.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,693 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\response.py first seen with mtime 1737630452.2611408
DEBUG 2025-02-02 21:30:06,694 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1737630442.7150574
DEBUG 2025-02-02 21:30:06,694 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1737630442.7300587
DEBUG 2025-02-02 21:30:06,695 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1737630452.2601404
DEBUG 2025-02-02 21:30:06,695 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\uuid.py first seen with mtime 1733255850.0
DEBUG 2025-02-02 21:30:06,695 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1737630441.908481
DEBUG 2025-02-02 21:30:06,696 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1737630442.533015
DEBUG 2025-02-02 21:30:06,696 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1737630442.650606
DEBUG 2025-02-02 21:30:06,697 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1737630442.8159063
